period;format;download_path;download_mode;path;inputs_folder;data_folder;missing_symbols;ft_escola;ft_escola_em_e_emprof;ft_escola_educprof;ft_escola_ind;ft_escola_desporto;ft_escola_em8;ft_escola_em11;ft_escola_es6;ft_ind_reg;ft_turma;ft_docente;ft_matricula
1995;fwf;https://download.inep.gov.br/dados_abertos/microdados_censo_escolar_1995.zip;source;microdados_ed_basica_1995;INPUTS_SAS_SPSS;DADOS;.;INPUT_SAS_CENSOESC.sas&DADOS_CENSOESC.txt;INPUT_SAS_CURSO.SAS&DADOS_CURSO.txt;NA;NA;INPUT_SAS_DESPORTO.SAS&DADOS_DESP.txt;NA;NA;NA;NA;NA;NA;NA
1996;fwf;https://download.inep.gov.br/dados_abertos/microdados_censo_escolar_1996.zip;source;microdados_ed_basica_1996;INPUTS_SAS_SPSS;DADOS;.;INPUT_SAS_CENSOESC.sas&DADOS_CENSO96.txt;NA;NA;NA;NA;INPUT_SAS_EM8.SAS&DADOS_EM8.txt;INPUT_SAS_EM11.SAS&DADOS_EM11.txt;INPUT_SAS_ES6.SAS&DADOS_ES6.txt;NA;NA;NA;NA
1997;fwf;https://download.inep.gov.br/dados_abertos/microdados_censo_escolar_1997.zip;source;microdados_ed_basica_1997;INPUTS_SAS_SPSS;DADOS;.;INPUT_SAS_CENSOESC.sas&DADOS_CENSOESC.txt;INPUT_SAS_EM12.SAS&DADOS_EM12.TXT;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1998;fwf;https://download.inep.gov.br/dados_abertos/microdados_censo_escolar_1998.zip;source;microdados_ed_basica_1998;INPUTS_SAS_SPSS;DADOS;.;INPUT_SAS_CENSOESC.sas&DADOS_CENSOESC.txt;INPUT_SAS_EM12.SAS&DADOS_EM12.TXT;INPUT_SAS_EDUCPROF.sas&DADOS_EDUCPROF.TXT;NA;NA;NA;NA;NA;NA;NA;NA;NA
1999;fwf;https://download.inep.gov.br/dados_abertos/microdados_censo_escolar_1999.zip;source;microdados_ed_basica_1999;INPUTS_SAS_SPSS;DADOS;.;INPUT_SAS_CENSOESC.sas&DADOS_CENSOESC.txt;NA;INPUT_SAS_EDUCPROF.sas&DADOS_EDUCPROF.TXT;NA;NA;NA;NA;NA;NA;NA;NA;NA
2000;fwf;https://download.inep.gov.br/dados_abertos/microdados_censo_escolar_2000.zip;source;microdados_ed_basica_2000;INPUTS_SAS_SPSS;DADOS;.;INPUT_SAS_CENSOESC.sas&DADOS_CENSOESC.txt;INPUT_SAS_MEDPROF.sas&DADOS_MEDPROF.TXT;NA;INPUT_SAS_INDICESC.sas&DADOS_INDICESC.TXT;NA;NA;NA;NA;INPUT_SAS_INDICREG.sas&DADOS_INDICREG.TXT;NA;NA;NA
2001;fwf;https://download.inep.gov.br/dados_abertos/microdados_censo_escolar_2001.zip;source;microdados_ed_basica_2001;INPUTS_SAS_SPSS;DADOS;.;INPUT_SAS_CENSOESC.sas&DADOS_CENSOESC.txt;INPUT_SAS_MEDPROF.sas&DADOS_MEDPROF.TXT;INPUT_SAS_EDUCPROF.sas&DADOS_EDUCPROF.TXT;INPUT_SAS_INDICESC.sas&DADOS_INDICESC.TXT;NA;NA;NA;NA;INPUT_SAS_INDICREG.sas&DADOS_INDICREG.TXT;NA;NA;NA
2002;fwf;https://download.inep.gov.br/dados_abertos/microdados_censo_escolar_2002.zip;source;microdados_ed_basica_2002;INPUTS_SAS_SPSS;DADOS;.;INPUT_SAS_CENSOESC.sas&DADOS_CENSOESC.txt;INPUT_SAS_MEDPROF.sas&DADOS_MEDPROF.TXT;INPUT_SAS_EDUCPROF.sas&DADOS_EDUCPROF.TXT;INPUT_SAS_INDICESC.sas&DADOS_INDICESC.TXT;NA;NA;NA;NA;INPUT_SAS_INDICREG.sas&DADOS_INDICREG.TXT;NA;NA;NA
2003;fwf;https://download.inep.gov.br/dados_abertos/microdados_censo_escolar_2003.zip;source;microdados_ed_basica_2003;INPUTS_SAS_SPSS;DADOS;.;INPUT_SAS_CENSOESC.sas&DADOS_CENSOESC.txt;INPUT_SAS_MEDPROF.sas&DADOS_MEDPROF.TXT;INPUT_SAS_EDUCPROF.sas&DADOS_EDUCPROF.TXT;INPUT_SAS_INDICESC.sas&DADOS_INDICESC.TXT;NA;NA;NA;NA;INPUT_SAS_INDICREG.sas&DADOS_INDICREG.TXT;NA;NA;NA
2004;fwf;https://download.inep.gov.br/dados_abertos/microdados_censo_escolar_2004.zip;source;microdados_ed_basica_2004;INPUTS_SAS_SPSS;DADOS;.;INPUT_SAS_CENSOESC.sas&DADOS_CENSOESC.txt;NA;INPUT_SAS_EDUCPROF.sas&DADOS_EDUCPROF.TXT;NA;NA;NA;NA;NA;NA;NA;NA;NA
